,Unnamed: 0,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response,appropriateness_score,raw_guess
46,46,Nonliterary,1.0,124.0,0.0,A dilemma is a cactus.,3.97,4.4,2.2,3.97,3.17,3.66,3.97,2.41,3.47,1.39,A dilemma is complicated and potentially painful.,A dilemma is small and potentially bloody.,A dilemma is a difficult situation.,A dilemma is simple and safe.,,"""A dilemma is a cactus.""

a) A dilemma is complicated and potentially painful.
b) A dilemma is simple and safe.
c) A dilemma is a difficult situation.
d) A dilemma is small and potentially bloody.
",[4 1 2 3],"
A cactus is a plant that is difficult to move and can be dangerous.
In contrast, a dilemma is not a plant and is small.
This contrast projects the property of being difficult to move and dangerous to a cactus, so the speaker is saying a) a dilemma is complicated and potentially painful.",4.0,a
47,47,Nonliterary,1.0,4.0,0.0,The bird is nature's airplane.,6.84,6.71,3.38,5.4,5.9,5.52,5.96,5.31,5.22,1.92,Birds can fly naturally.,Birds have pilots.,The bird is an animal.,Birds aren't real.,,"""The bird is nature's airplane.""

a) Birds aren't real.
b) Birds can fly naturally.
c) Birds have pilots.
d) The bird is an animal.
",[1 4 3 2],"

A bird is not an animal.
This contrast projects the property of being real to the bird, so the speaker is saying a) birds aren't real.",1.0,a
48,48,Nonliterary,1.0,107.0,5.0,A sailboat is a leaf.,5.23,5.2,2.73,3.4,3.83,3.83,4.43,2.7,3.27,1.64,A sailboat moves where the wind goes.,A sailboat is flat.,A sailboat is a sea vessel.,A sailboat can move tactically.,,"""A sailboat is a leaf.""

a) A sailboat is a sea vessel.
b) A sailboat can move tactically.
c) A sailboat moves where the wind goes.
d) A sailboat is flat.
",[2 1 4 3],"A leaf can move with the wind.
In contrast, a sailboat cannot move with the wind.
This contrast projects the property of being moveable with the wind to a sailboat, so the speaker is saying c) a sailboat moves where the wind goes.",4.0,c
49,49,Literary,1.0,6.0,8.0,Clouds are worlds of wool.,5.77,6.03,3.38,4.53,5.6,4.97,5.13,4.9,3.7,1.83,Clouds are intricate.,Clouds look soft.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds are simple.,,"""Clouds are worlds of wool.""

a) Clouds are simple.
b) Clouds are a visible mass of condensed water floating in the atmosphere.
c) Clouds look soft.
d) Clouds are intricate.
",[1 2 3 4],"Worlds of wool are stories where animals live in different shapes and sizes.
In contrast, clouds are not a story.
This contrast projects the property of being a story to clouds, so the speaker is saying b) clouds are a visible mass of condensed water floating in the atmosphere.",2.0,b
50,50,Nonliterary,1.0,205.0,0.0,Loud voices are bellows.,5.27,5.8,4.53,3.73,4.13,4.5,4.57,4.07,4.17,1.9,Loud voices often encourage controversy.,Loud voices often explain controvery.,fixme,Loud voices often discourage controversy.,,"""Loud voices are bellows.""

a) fixme
b) Loud voices often encourage controversy.
c) Loud voices often discourage controversy.
d) Loud voices often explain controvery.
",[2 4 1 3],"

To be continued...",,
51,51,Nonliterary,1.0,256.0,6.0,A trailer-home is the shell of a wandering turtle.,5.86,5.7,3.03,3.97,4.21,4.24,4.48,2.68,4.03,1.62,A trailer-home is always close by.,A trailer-home is protection.,A trailer-home is a portable home.,A trailer-home is a way to take more stuff on trips.,,"""A trailer-home is the shell of a wandering turtle.""

a) A trailer-home is protection.
b) A trailer-home is always close by.
c) A trailer-home is a way to take more stuff on trips.
d) A trailer-home is a portable home.
",[3 4 1 2],"A trailer-home is a temporary shelter.
In contrast, a wandering turtle has no fixed home.
This contrast projects the property of temporary shelter to a trailer-home, so the speaker is saying d) a trailer-home is a portable home.",2.0,d
52,52,Nonliterary,1.0,34.0,0.0,A well trained fighter is a knight in armor.,5.53,5.93,3.87,4.07,5.0,4.7,4.6,3.53,4.87,1.77,A well trained fighter has extra protection.,A well trained fighter is fast.,A well trained fighter is a champion.,A well trained fighter is more vulnerable.,,"""A well trained fighter is a knight in armor.""

a) A well trained fighter has extra protection.
b) A well trained fighter is a champion.
c) A well trained fighter is fast.
d) A well trained fighter is more vulnerable.
",[4 2 3 1],"A knight in armor is extra protective.
In contrast, a well trained fighter is less protected than a normal person.
This difference projects the property of vulnerability to a well trained fighter, so the speaker is saying c) a well trained fighter is fast.",3.0,c
53,53,Nonliterary,1.0,208.0,0.0,Memories are mists across lawns.,4.67,4.9,2.72,4.2,4.1,4.4,4.8,2.87,3.6,1.46,Memories are fleeting.,Memories are replayed across lawns.,Memories are recollections of the past.,Memories are permanent.,,"""Memories are mists across lawns.""

a) Memories are permanent.
b) Memories are replayed across lawns.
c) Memories are recollections of the past.
d) Memories are fleeting.
",[1 3 2 4],"Mists are a natural phenomenon that can be seen on a sunny day.
In contrast, memories are not permanent and can be forgotten.
This contrast projects the property of being temporary to memories, so the speaker is saying c) memories are recollections of the past.",2.0,c
54,54,Nonliterary,1.0,175.0,0.0,Divorce is the earthquake of the family.,6.0,6.3,3.6,4.9,5.73,5.13,5.27,4.4,5.0,2.03,Divorce is surprising and disruptive for families.,Divorce is a major negative event for families.,Divorce is when a married couple ends their relationship.,Divorce is smooth and easy to deal with.,,"""Divorce is the earthquake of the family.""

a) Divorce is surprising and disruptive for families.
b) Divorce is smooth and easy to deal with.
c) Divorce is a major negative event for families.
d) Divorce is when a married couple ends their relationship.
",[4 1 3 2],"A major earthquake is surprising and disruptive.
In contrast, divorce is smooth and easy to deal with.
This contrast projects the properties of being disruptive and surprising to divorce, so the speaker is saying c) divorce is a major negative event for families.",3.0,c
55,55,Nonliterary,1.0,258.0,4.0,A match in a forest is the case of flu in a large family.,5.97,5.87,3.9,4.87,5.1,5.1,5.1,3.64,4.77,1.74,A match in a forest can start a large fire.,A match in a forest is small.,A match in a forest is a flamible piece of wood.,A match in a forest is inconsequential.,,"""A match in a forest is the case of flu in a large family.""

a) A match in a forest is small.
b) A match in a forest can start a large fire.
c) A match in a forest is inconsequential.
d) A match in a forest is a flamible piece of wood.
",[3 4 1 2],"A match in a forest is small and can start a large fire.
In contrast, a match in a family is large and inconsequential.
This contrast projects the properties of smallness and inconsequentiality to a match in a forest, so the speaker is saying c) a match in a forest is inconsequential.",1.0,c
56,56,Literary,1.0,182.0,0.0,The wailing of shells is a choir for dead soldiers.,5.27,3.7,3.23,4.33,4.37,4.1,4.2,4.1,3.87,1.67,The sound of shells memorializes soldiers who have died.,The sound of shells overshadows soldiers who have died.,The sound of shells is the sound of artillery exploding.,The sound of shells trivializes soldiers who have died.,,"""The wailing of shells is a choir for dead soldiers.""

a) The sound of shells overshadows soldiers who have died.
b) The sound of shells is the sound of artillery exploding.
c) The sound of shells memorializes soldiers who have died.
d) The sound of shells trivializes soldiers who have died.
",[3 2 4 1],"A choir is an organized group of singers.
In contrast, the sound of shells is not an organized group of sounds.
This contrast projects the property of orderly organization to the sound of shells, so the speaker is saying c) the sound of shells memorializes soldiers who have died.",4.0,c
57,57,Nonliterary,1.0,181.0,0.0,The look of hate is a laser beam.,5.4,5.63,2.6,4.27,5.17,4.13,5.2,3.87,4.77,1.86,The look of hate is powerful.,The look of hate is hot.,The look of hate is an expression of negative emotion.,The look of hate is weak.,,"""The look of hate is a laser beam.""

a) The look of hate is hot.
b) The look of hate is an expression of negative emotion.
c) The look of hate is powerful.
d) The look of hate is weak.
",[3 2 4 1],"The look of hate is a powerful expression of negative emotion.
In contrast, the look of love is a kind of light.
This contrast projects the property of being powerful to the look of love, so the speaker is saying c) the look of hate is powerful.",4.0,c
58,58,Nonliterary,1.0,165.0,0.0,Oil is liquid gold.,6.4,6.7,4.37,5.67,5.7,5.77,5.3,5.8,5.93,2.1,Oil is extremely valuable.,Oil is liquid and metalic.,Oil is refined into gas.,Oil is cheap.,,"""Oil is liquid gold.""

a) Oil is refined into gas.
b) Oil is extremely valuable.
c) Oil is liquid and metalic.
d) Oil is cheap.
",[2 4 3 1],"Gold is valuable.
In contrast, oil is not a physical precious metal.
This contrast projects the property of being valuable to oil, so the speaker is saying c) oil is liquid and metalic.",3.0,c
59,59,Nonliterary,1.0,233.0,0.0,The desert is an oven.,6.41,6.47,3.9,4.9,6.1,5.67,5.23,5.37,5.13,2.1,The desert is hot.,The desert is square.,"The desert is dry, hot, and barren area of land.",The desert is cold.,,"""The desert is an oven.""

a) The desert is cold.
b) The desert is hot.
c) The desert is dry, hot, and barren area of land.
d) The desert is square.
",[1 4 2 3],"
An oven is a dry, hot, and barren area of land in which food is baked.
In contrast, the desert is not a shape.
This contrast projects the property of being dry, hot, and barren to the desert, so the speaker is saying c) the desert is square.",2.0,c
60,60,Nonliterary,1.0,59.0,4.0,A match in a forest is a potato chip in a potato field.,3.67,3.2,2.73,2.27,2.57,3.2,3.03,2.53,2.76,1.1,A match in a forest is small.,A match in a forest can start a large fire.,A match in a forest is a small piece of flamable wood.,A match in a forest is large.,,"""A match in a forest is a potato chip in a potato field.""

a) A match in a forest is large.
b) A match in a forest is small.
c) A match in a forest can start a large fire.
d) A match in a forest is a small piece of flamable wood.
",[1 4 3 2],"A match is a small piece of flamable wood.
In contrast, a match in a potato field is a large piece of flamable wood.
This contrast projects the property of being a large piece of flamable wood to a match in a potato field, so the speaker is saying c) a match in a forest can start a large fire.",3.0,c
61,61,Nonliterary,1.0,156.0,0.0,A mining town is a large tavern.,4.77,4.97,3.53,3.33,4.47,4.03,3.93,3.0,3.5,1.43,People who live in mining towns drink a lot of alcohol.,People who live in mining towns are friendly.,A mining town is a town where most people work at a mine.,People who live in mining towns never drink alcohol.,,"""A mining town is a large tavern.""

a) People who live in mining towns are friendly.
b) A mining town is a town where most people work at a mine.
c) People who live in mining towns never drink alcohol.
d) People who live in mining towns drink a lot of alcohol.
",[3 2 1 4],"A tavern is a large building where people drink alcohol.
In contrast, a mining town is not a town.
This distinction projects the property of being a town from mining towns, so the speaker is saying b) a mining town is a town where most people work at a mine.",2.0,b
62,62,Literary,1.0,19.0,3.0,The stars are beads strung on one string.,5.47,4.57,3.1,3.47,4.33,4.33,3.93,3.87,2.23,1.5,The stars are connected.,The stars are circles.,The stars are in the sky.,The stars are disconnected.,,"""The stars are beads strung on one string.""

a) The stars are connected.
b) The stars are circles.
c) The stars are in the sky.
d) The stars are disconnected.
",[4 3 2 1],"Beads are small and round.
In contrast, the stars are vast and geometric.
This contrast projects the property of being connected to the stars to beads, so the speaker is saying a) the stars are connected.",4.0,a
63,63,Nonliterary,1.0,248.0,0.0,Featherweight boxers are wasps.,4.31,3.2,2.47,3.37,2.97,3.53,3.59,2.17,2.7,1.48,Featherweight boxers are agile.,Featherweight boxers are annoying.,Featherweight boxers are the lightest weightclass.,Featherweight boxers are pleasant.,,"""Featherweight boxers are wasps.""

a) Featherweight boxers are the lightest weightclass.
b) Featherweight boxers are agile.
c) Featherweight boxers are annoying.
d) Featherweight boxers are pleasant.
",[2 4 3 1],"
Weights classes are divided into categories based on weight.
In contrast, featherweight boxers are not a weightclass.
This contrast projects the property of not being a weightclass to featherweight boxers, so the speaker is saying c) featherweight boxers are annoying.",3.0,c
64,64,Nonliterary,1.0,81.0,0.0,An exaggeration is an invitation to falsehood.,5.13,5.8,4.1,4.4,3.63,4.23,3.73,3.7,4.72,1.59,An exaggeration is a precursor to a lie.,An exaggeration is worse than a lie.,An exaggeration is not entirely true.,An exaggeration is not a lie.,,"""An exaggeration is an invitation to falsehood.""

a) An exaggeration is worse than a lie.
b) An exaggeration is a precursor to a lie.
c) An exaggeration is not entirely true.
d) An exaggeration is not a lie.
",[3 4 2 1],"An invitation to falsehood is when someone invites someone to speak falsely.
In contrast, an exaggeration is not an invitation to speak falsely.
This contrast projects the property of not being an invitation to speak falsely to an exaggeration, so the speaker is saying c) an exaggeration is not entirely true.",2.0,c
65,65,Nonliterary,1.0,238.0,0.0,Newspapers are telescopes of events.,5.41,5.63,3.83,3.97,3.9,4.37,3.93,3.37,4.33,1.79,Newspapers enable more people from all over to learn about events.,Newspapers include a lot of information about events.,Newspapers are where the news is reported.,Newspapers prevent people from learning about events.,,"""Newspapers are telescopes of events.""

a) Newspapers are where the news is reported.
b) Newspapers include a lot of information about events.
c) Newspapers enable more people from all over to learn about events.
d) Newspapers prevent people from learning about events.
",[2 3 4 1],"A telescope includes a lens that magnifies an object.
In contrast, a newspaper does not include a lens and does not magnify events.
This contrasts projects the property of magnification from a telescope to a newspaper, so the speaker is saying b) newspapers include a lot of information about events.",3.0,b
66,66,Nonliterary,1.0,15.0,0.0,Love is a flower.,5.84,5.96,2.92,3.8,4.59,5.0,4.65,5.21,4.33,3.08,Love is beautiful and grows.,Love dies.,Love is an emotion.,Love smells nice.,,"""Love is a flower.""

a) Love smells nice.
b) Love is an emotion.
c) Love dies.
d) Love is beautiful and grows.
",[1 2 3 4],"
Love is an emotion that is gentle, beautiful, and grows.
In contrast, love does not smell good and it can eventually die.
This contrast projects the properties of being gentle, beautiful, and growing to love, so the speaker is saying c) love is an emotion.",3.0,c
67,67,Nonliterary,1.0,239.0,0.0,Purgatory is the lobby of heaven.,4.14,4.62,3.17,4.0,4.14,3.5,3.41,2.69,3.07,1.07,na,na,na,na,Religious,"""Purgatory is the lobby of heaven.""

a) na
b) na
c) na
d) na
",[4 3 1 2],"
na",4.0,a
68,68,Nonliterary,1.0,18.0,0.0,The queen is a nation's aunt.,3.88,4.63,3.12,2.6,2.21,2.93,2.58,2.25,2.85,0.88,The queen helps to lead a nation.,The queen helps to fund a nation.,The queen is a nation's leader.,The queen is unrelated to a nation.,,"""The queen is a nation's aunt.""

a) The queen is unrelated to a nation.
b) The queen helps to fund a nation.
c) The queen is a nation's leader.
d) The queen helps to lead a nation.
",[1 3 2 4],"An aunt is related to a nation.
In contrast, the queen is unrelated to a nation.
This contrast projects the property of being related to a nation to the queen, so the speaker is saying c) the queen is a nation's leader.",2.0,c
69,69,Nonliterary,1.0,120.0,0.0,The creative mind is a kettle on the stove.,4.07,5.33,2.67,3.93,3.57,3.34,3.67,3.14,3.17,1.54,The creative mind needs time to warm up.,The creative mind needs tea to function.,The creative mind is a mind that is creating.,The creative mind is ready any time.,,"""The creative mind is a kettle on the stove.""

a) The creative mind is a mind that is creating.
b) The creative mind needs time to warm up.
c) The creative mind is ready any time.
d) The creative mind needs tea to function.
",[2 4 1 3],"
A kettle is boiling on the stove.
In contrast, the creative mind is not boiling on the stove.
This contrast projects the property of being boiling to the creative mind, so the speaker is saying c) the creative mind is ready any time.",1.0,c
70,70,Nonliterary,1.0,47.0,8.0,A white rabbit's fur in winter is a ready-made suit of long underwear.,5.63,6.07,3.57,3.83,4.73,4.83,5.03,2.97,4.53,1.57,A white rabbit's fur in winter is naturally warm and cozy.,A white rabbit's fur in winter is good camoflauge.,A white rabbit's fur in winter is the outermost part of the animal.,A white rabbit's fur in winter is naturally cold and uncomfortable.,,"""A white rabbit's fur in winter is a ready-made suit of long underwear.""

a) A white rabbit's fur in winter is the outermost part of the animal.
b) A white rabbit's fur in winter is naturally cold and uncomfortable.
c) A white rabbit's fur in winter is naturally warm and cozy.
d) A white rabbit's fur in winter is good camoflauge.
",[2 1 4 3],"
White rabbits have a naturally cold and uncomfortable fur in winter.
In contrast, a white rabbit's fur in winter can be used to make a suit of long underwear.
This contrast projects the property of being good camoflauge to a white rabbit's fur in winter, so the speaker is saying c) a white rabbit's fur in winter is naturally warm and cozy.",4.0,c
71,71,Literary,1.0,23.0,8.0,Clouds are puffballs,6.6,6.67,4.5,4.07,6.37,5.97,6.2,6.1,5.13,1.7,Clouds look soft.,Clouds look delicious.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds look rough.,,"""Clouds are puffballs""

a) Clouds are a visible mass of condensed water floating in the atmosphere.
b) Clouds look delicious.
c) Clouds look soft.
d) Clouds look rough.
",[2 3 4 1],"A puffball is a type of fungus that is shaped like a ball.
in contrast, clouds are not a fungus.
This contrast projects the property of being a fungus from clouds, so the speaker is saying c) clouds look soft.",4.0,c
72,72,Nonliterary,1.0,79.0,19.0,Power is capitalism's narcotic.,4.9,4.6,3.57,4.67,3.3,3.3,3.4,3.13,3.83,1.55,Capitalism can be undermined by power.,Power can be injected.,Power is being able to take control.,Power can resolve problems.,,"""Power is capitalism's narcotic.""

a) Power is being able to take control.
b) Power can be injected.
c) Power can resolve problems.
d) Capitalism can be undermined by power.
",[2 3 1 4],"Capitalism is a system where people have power.
In contrast, power can be taken away from capitalists by the people.
This contrast projects the property of having power over capitalists to capitalism, so the speaker is saying c) power can resolve problems.",1.0,c
73,73,Literary,1.0,65.0,1.0,Time is a priceless coin.,5.37,5.9,3.83,4.33,4.97,3.8,3.77,5.43,3.4,2.1,Time is extremely valuable.,Time is a circle.,Time is continued progress of existence.,Time is worthless.,,"""Time is a priceless coin.""

a) Time is continued progress of existence.
b) Time is extremely valuable.
c) Time is a circle.
d) Time is worthless.
",[2 4 3 1],"Time is an agent that continues progress of existence.
In contrast, time is worthless.
This contrast projects the property of being valuable to time, so the speaker is saying a) time is continued progress of existence.",2.0,a
74,74,Nonliterary,1.0,82.0,0.0,A sculpture is a landmark of an era.,5.47,4.97,4.4,3.87,3.57,4.07,3.67,3.5,4.55,1.66,Sculptures reflect the time and place they were created.,Sculptures are big.,A sculpture is a piece of art.,Sculptures have no connection to the time and place they were created.,,"""A sculpture is a landmark of an era.""

a) Sculptures have no connection to the time and place they were created.
b) A sculpture is a piece of art.
c) Sculptures reflect the time and place they were created.
d) Sculptures are big.
",[1 2 4 3],"An era is a time period.
A landmark is a physical or cultural feature that is visible from a distance and typically indicates the location of a place.
In contrast, sculptures are physical pieces of art that are typically big and prominently displayed.
This contrast projects the property of being a physical landmark of an era to sculptures, so the speaker is saying c) sculptures reflect the time and place they were created.",4.0,c
75,75,Nonliterary,1.0,246.0,0.0,Migraine headaches are beating drums.,6.52,6.43,3.52,4.97,5.55,5.53,5.9,4.69,5.47,1.97,Migraine headaches can be throbbing.,Migraine headaches can make people sensitive to noise.,Migraine headaches are throbbing and painful.,Migraine headaches are comfortable.,,"""Migraine headaches are beating drums.""

a) Migraine headaches can make people sensitive to noise.
b) Migraine headaches are throbbing and painful.
c) Migraine headaches are comfortable.
d) Migraine headaches can be throbbing.
",[3 2 1 4],"A throbbing, painful, and uncomfortable sensation is called a headache.
Migraine headaches are one type of headache.

In contrast, migraine headaches are not loud.
This contrast projects the properties of being loud and throbbing to migraine headaches, so the speaker is saying d) migraine headaches can be throbbing.",4.0,d
76,76,Nonliterary,1.0,203.0,0.0,The army is a plague.,4.37,4.53,3.07,3.8,3.37,4.3,3.87,3.27,3.1,1.9,The army is killing people.,The army is making people sick.,The army is a branch of the military.,The army is keeping people alive.,,"""The army is a plague.""

a) The army is killing people.
b) The army is making people sick.
c) The army is keeping people alive.
d) The army is a branch of the military.
",[4 3 1 2],"The army is a branch of the military that kills people.
In contrast, the army is not a person and cannot literally make people sick.
This contrast projects the property of making people sick to the army, so the speaker is saying 4) the army is a branch of the military that keeps people alive.",,
77,77,Nonliterary,1.0,68.0,0.0,An old man is a living history book.,6.2,6.43,4.03,4.53,4.6,5.17,5.1,4.77,4.72,2.03,An old man has a lot of knowledge about the past.,An old man has knowledge that could be tested in a history class.,An old man is a man who has lived a long time.,An old man is has little knowledge of the past.,,"""An old man is a living history book.""

a) An old man is a man who has lived a long time.
b) An old man has a lot of knowledge about the past.
c) An old man has knowledge that could be tested in a history class.
d) An old man is has little knowledge of the past.
",[2 4 3 1],"A living history book is a book where the author is alive and has written about the past.
In contrast, an old man is a man who has already lived a long time.
This contrast projects the property of being alive from a living history book to an old man, so the speaker is saying c) an old man has knowledge that could be tested in a history class.",3.0,c
78,78,Nonliterary,1.0,70.0,15.0,Freedom is a breath of fresh air.,5.93,6.13,3.47,4.87,4.77,5.03,4.53,5.47,5.17,2.0,Freedom is refreshing.,Freedom is cold.,Freedom is a value.,Freedom is difficult.,,"""Freedom is a breath of fresh air.""

a) Freedom is cold.
b) Freedom is difficult.
c) Freedom is a value.
d) Freedom is refreshing.
",[3 1 2 4],"A breath of fresh air is refreshing.
In contrast, freedom is not refreshing and it is difficult to live without constraints.
This contrast projects the property of being refreshing to freedom, so the speaker is saying d) freedom is refreshing.",4.0,d
79,79,Nonliterary,1.0,143.0,0.0,The past is a bottomless pit.,5.11,5.03,2.7,3.53,4.27,4.27,4.0,4.23,3.17,2.04,A person could spend all their time thinking about the past.,A person should spend all of their time thinking about the past.,The past is what has already happened.,The past is always easy to think about and never takes very long.,,"""The past is a bottomless pit.""

a) The past is always easy to think about and never takes very long.
b) A person could spend all their time thinking about the past.
c) A person should spend all of their time thinking about the past.
d) The past is what has already happened.
",[1 4 3 2],"A bottomless pit is an unexplored place.
In contrast, the past is easy to think about and takes very little time.
This contrast projects the property of being easy to think about and short in length to the past, so the speaker is saying a) the past is always easy to think about.",1.0,a
80,80,Nonliterary,1.0,25.0,0.0,Experience is a used car salesman.,5.0,4.88,3.42,3.08,2.66,3.86,3.27,2.76,2.67,1.58,Experience can be misleading.,Experience can be helpful.,Experience is observation.,Experience can be hard to find.,,"""Experience is a used car salesman.""

a) Experience can be misleading.
b) Experience is observation.
c) Experience can be hard to find.
d) Experience can be helpful.
",[4 2 1 3],"A used car salesman can be misleading.
In contrast, experience can be helpful because it is observation.
This contrast projects the property of being helpful from experience to a used car salesman, so the speaker is saying c) experience can be helpful.",1.0,c
81,81,Literary,1.0,21.0,6.0,A body is a prison for the soul.,6.13,6.03,4.03,4.6,3.9,4.17,4.4,5.67,4.0,1.8,A body is confining.,A body is in jail.,A body is the physical structure of a person.,A body can do anything.,,"""A body is a prison for the soul.""

a) A body can do anything.
b) A body is confining.
c) A body is the physical structure of a person.
d) A body is in jail.
",[1 4 2 3],"
A body is a structure that a person can inhabit.
In contrast, a soul is an immaterial part of a person.
This contrast projects the property of being a structure to a body, so the speaker is saying c) a body is the physical structure of a person.
###
""Existence is a river.""

a) Existence flows from the past to the future.
b) Existence is ebb and flow.
c) Existence is constant.
d) Existence is continuous.

Let's think step by step.

A river flows from the past to the future.
Similarly, existence ebbs and flows.
This contrasts projects the property of flowing from existence to the past and future, so the speaker is saying c) existence is constant.",2.0,c
82,82,Nonliterary,1.0,159.0,0.0,Beware-of-dog signs are scarecrows.,5.63,6.13,4.07,3.8,4.8,4.4,5.1,3.43,4.5,1.57,Beware-of-dog signs are intended to keep certain people away.,Beware-of-dog signs are sometimes effective.,Beware-of-dog signs are inteded to keep intruders away.,Beware-of-dog signs are intended to attract certain people.,,"""Beware-of-dog signs are scarecrows.""

a) Beware-of-dog signs are intended to keep certain people away.
b) Beware-of-dog signs are inteded to keep intruders away.
c) Beware-of-dog signs are intended to attract certain people.
d) Beware-of-dog signs are sometimes effective.
",[4 2 1 3],"A scarecrow is a figure that is meant to terrify animals.
In contrast, beware-of-dog signs are not meant to frighten people and are instead meant to attract certain people.
This contrast projects the property of being effective to beware-of-dog signs, so the speaker is saying c) beware-of-dog signs are intended to attract certain people.",1.0,c
83,83,Nonliterary,1.0,64.0,0.0,A shadow is a piece of night.,5.13,5.67,3.27,4.67,4.27,4.1,4.5,3.13,3.9,1.69,A shadow is dark.,A shadow is mysterious.,A shadow is obstructed light.,A shadow is bright.,,"""A shadow is a piece of night.""

a) A shadow is dark.
b) A shadow is mysterious.
c) A shadow is bright.
d) A shadow is obstructed light.
",[4 3 1 2],"A shadow is dark, mysterious, and Obstructed by light.
In contrast, a shadow is bright, and reveals what is in front of it.
This contrast projects the property of revealing what is in front of shadow to shadow, so the speaker is saying c) a shadow is bright.",1.0,c
84,84,Nonliterary,1.0,196.0,0.0,Rain clouds are pregnant ghosts.,4.03,4.9,2.77,2.77,3.37,3.83,3.73,1.9,3.07,1.17,Rain clouds are full of water and moving around in the sky.,Rain clouds are full of water and staying still in the sky.,Rain clouds are filled with water.,Rain clouds are empty of water and moving around in the sky.,,"""Rain clouds are pregnant ghosts.""

a) Rain clouds are full of water and staying still in the sky.
b) Rain clouds are full of water and moving around in the sky.
c) Rain clouds are empty of water and moving around in the sky.
d) Rain clouds are filled with water.
",[3 4 1 2],"A pregnant ghost is an empty vessel that is full of air.
In contrast, rain clouds are full of water and staying still in the sky.
This contrast projects the property of being full of water and staying still to a pregnant ghost, so the speaker is saying c) rain clouds are filled with water.",1.0,c
85,85,Nonliterary,1.0,94.0,0.0,An acrobat is the bird of the bigtop.,5.57,5.93,3.2,3.23,4.43,3.53,4.7,3.57,4.07,1.57,An acrobat performs in the air.,An acrobat has feathers.,An acrobat is a performer.,An acrobat performs on the ground.,,"""An acrobat is the bird of the bigtop.""

a) An acrobat has feathers.
b) An acrobat performs in the air.
c) An acrobat is a performer.
d) An acrobat performs on the ground.
",[3 4 2 1],"A bigtop is a circus tent.
In contrast, an acrobat does not have feathers and does not perform in the air.
This contrast projects the property of performing on the ground to an acrobat, so the speaker is saying b) an acrobat is a performer.",4.0,b
86,86,Nonliterary,1.0,155.0,0.0,Coal mines are the bowels of the earth.,5.62,6.0,3.53,3.83,4.87,4.5,4.77,4.0,4.47,1.77,Coal mines are unpleasant places.,Coal mines are underground.,Coal mines are places where people extract coal from the land.,Coal mines are pleasant places.,,"""Coal mines are the bowels of the earth.""

a) Coal mines are unpleasant places.
b) Coal mines are places where people extract coal from the land.
c) Coal mines are underground.
d) Coal mines are pleasant places.
",[4 2 3 1],"
Bowels are the largest and deepest part of the body.
In contrast, coal mines are underground and are not as pleasant as people might think.
This contrast projects the property of being unpleasant to coal mines, so the speaker is saying a) coal mines are unpleasant places.",4.0,a
87,87,Nonliterary,1.0,244.0,0.0,The eager student is a sponge.,6.03,6.4,3.7,4.83,5.21,4.33,5.34,4.83,5.03,2.07,The eager student learns quickly.,The eager student has room to grow.,The eager student is excited to learn.,The eager student is patient.,,"""The eager student is a sponge.""

a) The eager student has room to grow.
b) The eager student is excited to learn.
c) The eager student is patient.
d) The eager student learns quickly.
",[3 2 1 4],"A sponge absorbs water and nutrients.
In contrast, the eager student is excited to learn and absorbs information quickly.
This contrast projects the properties of absorbing water and nutrients to the eager student, so the speaker is saying c) the eager student is patient.",1.0,c
88,88,Nonliterary,1.0,197.0,0.0,Wisdom is a weatherman.,3.13,3.3,2.43,2.13,1.67,2.83,2.1,1.8,2.03,1.17,Wisdom is trying over and over again to do something hard.,Wisdom is trying to predict the weather.,Wisdom is acquired over time.,Wisdom is doing nothing.,,"""Wisdom is a weatherman.""

a) Wisdom is doing nothing.
b) Wisdom is trying to predict the weather.
c) Wisdom is acquired over time.
d) Wisdom is trying over and over again to do something hard.
",[1 3 2 4],"Weathermen predict the weather.
In contrast, wisdom is not an agent that can directly change the weather.
This contrast projects the property of not changing the weather to wisdom, so the speaker is saying c) wisdom is acquired over time.",2.0,c
89,89,Nonliterary,1.0,108.0,1.0,A butterfly is a flower.,4.8,5.1,2.33,3.27,4.3,3.9,3.87,3.73,3.13,1.64,A butterfly is beautiful.,A butterfly is colorful.,A butterfly is a flying insect.,A butterfly is ugly.,,"""A butterfly is a flower.""

a) A butterfly is beautiful.
b) A butterfly is ugly.
c) A butterfly is a flying insect.
d) A butterfly is colorful.
",[4 1 2 3],"A flower is beautiful.
In contrast, a butterfly is not beautiful.
This contrast projects the property of being beautiful to a butterfly, so the speaker is saying a) a butterfly is beautiful.",4.0,a
