,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response
51,Nonliterary,1.0,117.0,9.0,A wish is a rainbow.,4.7,4.93,2.27,3.7,3.73,4.34,4.1,3.69,3.6,1.61,A wish is beautiful.,A wish is delicate.,A wish is a hope for the future.,A wish is harsh.,,"""A wish is a rainbow.""

a) A wish is a hope for the future.
b) A wish is delicate.
c) A wish is harsh.
d) A wish is beautiful.
",[2 3 1 4],"The speaker is addressing the question ""What does a wish feel like?""
A rainbow is delicate.
So the speaker is saying b) a wish is delicate."
52,Nonliterary,1.0,101.0,0.0,An accountant is a juggler.,5.87,5.57,3.77,4.57,4.1,4.67,4.33,3.3,3.73,1.96,An accountant has to complete lots of different tasks.,An acountant is entertaining.,An accountant is a worker.,Being an accountant is an easy job.,,"""An accountant is a juggler.""

a) An accountant has to complete lots of different tasks.
b) An accountant is a worker.
c) Being an accountant is an easy job.
d) An acountant is entertaining.
",[4 2 1 3],"
The speaker is addressing the question ""What is the job of an accountant?""
An accountant juggles many different jobs.
So the speaker is saying a) an accountant has to complete lots of different tasks."
53,Literary,1.0,118.0,0.0,"A broken heart is a shattered mirror, reflecting life in pieces.",5.43,5.93,3.77,6.0,6.07,4.8,5.4,5.6,5.4,2.07,"Romantic grief, though traumatic, can be a learning process.","Romatic grief, though traumatic, can be violent.",A broken heart is failed organ.,"Romatic grief, though traumatic, can be worthless.",,"""A broken heart is a shattered mirror, reflecting life in pieces.""

a) A broken heart is failed organ.
b) Romatic grief, though traumatic, can be violent.
c) Romantic grief, though traumatic, can be a learning process.
d) Romatic grief, though traumatic, can be worthless.
",[2 3 4 1],"The speaker is addressing the question ""What does a broken heart do to someone?""
A shattered mirror reflects life in pieces.
So the speaker is saying a) a broken heart is failed organ."
54,Nonliterary,1.0,87.0,0.0,Honey is a bear's best friend.,6.5,6.03,4.33,3.9,4.83,5.63,5.03,5.93,4.43,1.97,Bears love honey.,Honey is sticky for bears.,Honey is made from bees.,Bates hate honey.,,"""Honey is a bear's best friend.""

a) Bears love honey.
b) Honey is sticky for bears.
c) Bates hate honey.
d) Honey is made from bees.
",[4 3 1 2],"The speaker is addressing the question ""What is honey good for?""
Honey is good for bears.
So the speaker is saying b) honey is sticky for bears."
55,Nonliterary,1.0,42.0,2.0,A dusty and crowded attic is a scrapbook older people love to page through.,6.2,6.45,4.07,5.4,5.13,5.03,5.9,4.77,5.43,1.8,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is fun for children.,A dusty and crowded attic is an upstairs room.,A dusty and crowded attic is a scary place,,"""A dusty and crowded attic is a scrapbook older people love to page through.""

a) A dusty and crowded attic has a lot of memories.
b) A dusty and crowded attic is a scary place
c) A dusty and crowded attic is an upstairs room.
d) A dusty and crowded attic is fun for children.
",[4 1 2 3],"
The speaker is addressing the question ""What is the appeal of a dusty and crowded attic?""
A scrapbook is a book where people cut out and paste pictures from.
So the speaker is saying a) a dusty and crowded attic has a lot of memories."
56,Nonliterary,1.0,5.0,15.0,Freedom is truth. ,5.42,4.79,3.81,4.36,3.14,3.48,2.96,5.1,5.11,1.69,Freedom is important.,Freedom is the only thing that matters.,Freedom is an ideal.,Freedom is irrelevant.,Another freedom,"""Freedom is truth. ""

a) Freedom is important.
b) Freedom is the only thing that matters.
c) Freedom is irrelevant.
d) Freedom is an ideal.
",[4 3 1 2],"The speaker is addressing the question ""Why is freedom important?""
Truth is important.
So the speaker is saying b) freedom is the only thing that matters."
57,Literary,1.0,28.0,0.0,Moonlight is bleach.,5.67,5.0,3.17,3.57,4.3,4.03,3.87,3.8,3.6,1.53,Moonlight makes everything look white.,Moonlight removes bacteria.,Moonlight is the reflection of energy from the sun off the moon.,Moonlight makes everything look dark.,,"""Moonlight is bleach.""

a) Moonlight makes everything look white.
b) Moonlight makes everything look dark.
c) Moonlight is the reflection of energy from the sun off the moon.
d) Moonlight removes bacteria.
",[4 1 2 3],"The speaker is addressing the question ""How does moonlight work?""
Moonlight removes bacteria.
So the speaker is saying c) Moonlight removes bacteria."
58,Nonliterary,1.0,195.0,24.0,The subconscious is an arena.,3.47,3.73,2.8,2.97,3.03,2.73,3.17,2.63,2.93,1.72,The subconscious is open and unconstrained.,It is possible to watch the subconscious.,The subconscious is the part of the mind that is inaccessible to people.,The subconscious is hidden.,,"""The subconscious is an arena.""

a) It is possible to watch the subconscious.
b) The subconscious is open and unconstrained.
c) The subconscious is hidden.
d) The subconscious is the part of the mind that is inaccessible to people.
",[3 4 1 2],"The speaker is addressing the question ""What is the purpose of the subconscious?""
It is possible to watch the subconscious.
So the speaker is saying a) it is possible to watch the subconscious."
59,Nonliterary,1.0,8.0,23.0,The stars are signposts. ,5.4,5.5,3.35,4.12,3.69,4.0,3.58,3.9,3.63,1.81,The stars guide travelers.,The stars block travelers.,The stars are fireballs.,The stars hide information.,,"""The stars are signposts. ""

a) The stars are fireballs.
b) The stars guide travelers.
c) The stars block travelers.
d) The stars hide information.
",[2 4 3 1],"The speaker is addressing the question ""What do the stars do?""
Fireballs are signspost that guide travelers.
So the speaker is saying b) the stars guide travelers."
60,Nonliterary,1.0,104.0,0.0,A wave is a tick of a clock.,3.67,3.7,2.17,3.1,3.03,2.93,2.93,2.73,2.23,1.54,A wave is fast.,A wave is quiet.,A wave is a hand gesture.,A wave is slow.,,"""A wave is a tick of a clock.""

a) A wave is quiet.
b) A wave is slow.
c) A wave is fast.
d) A wave is a hand gesture.
",[3 1 4 2],"

The speaker is addressing the question ""How does a wave look?""
A tick of a clock is slow.
So the speaker is saying a) a wave is slow."
61,Literary,1.0,102.0,3.0,The stars are fireflies.,5.73,6.13,3.87,4.0,5.8,5.53,5.97,5.63,4.33,1.77,The stars are bright.,The stars are circles.,The stars are in the sky.,The stars are connected.,,"""The stars are fireflies.""

a) The stars are in the sky.
b) The stars are circles.
c) The stars are bright.
d) The stars are connected.
",[2 3 4 1],"
The speaker is addressing the question ""How do the stars look?""
Fireflies are tiny, bright lights in the night.
So the speaker is saying c) the stars are bright."
62,Nonliterary,1.0,221.0,0.0,Indecision is a whirlpool.,5.7,5.8,2.9,5.13,4.63,4.67,5.67,4.0,4.83,2.03,Indecision causes chaos.,Indecision moves in a circle.,Indecision is the inability to make a decision.,Indecision is useful.,,"""Indecision is a whirlpool.""

a) Indecision causes chaos.
b) Indecision is useful.
c) Indecision moves in a circle.
d) Indecision is the inability to make a decision.
",[4 1 3 2],"The speaker is addressing the question ""What does indecision do?""
A whirlpool is a dangerous place.
So the speaker is saying c) indecision moves in a circle."
63,Nonliterary,1.0,180.0,0.0,Experiments are the lasso of progress.,5.0,5.1,3.3,4.4,3.57,3.6,3.33,2.8,4.38,1.59,Experiments are a useful method for making quick progress.,Experiments are made of rope.,Experiments are an important piece of the scientific method.,Experiments are misleading.,,"""Experiments are the lasso of progress.""

a) Experiments are misleading.
b) Experiments are an important piece of the scientific method.
c) Experiments are made of rope.
d) Experiments are a useful method for making quick progress.
",[1 2 3 4],"The speaker is addressing the question ""What is the purpose of experiments?""
Experiments are a useful method for making quick progress.
So the speaker is saying c) experiments are made of rope."
64,Nonliterary,1.0,171.0,0.0,A pimple is the skin's volcano.,6.5,6.4,3.3,3.97,5.5,4.87,5.77,4.03,4.4,1.57,Pimples burst.,Pimples are round. ,A pimple is a red bump.,Pimples are hard to see.,,"""A pimple is the skin's volcano.""

a) Pimples burst.
b) A pimple is a red bump.
c) Pimples are round. 
d) Pimples are hard to see.
",[4 2 3 1],"The speaker is addressing the question ""What is a pimple?""
A pimple is a red bump on the skin.
So the speaker is saying c) pimples are round."
65,Nonliterary,1.0,135.0,0.0,A braggart is a snowman.,3.07,2.79,2.63,2.3,1.97,2.6,2.62,1.8,2.1,0.93,A braggart is cold and unfeeling.,A braggart is round.,A braggart is a person who boasts.,A braggart is warm and sensitive.,,"""A braggart is a snowman.""

a) A braggart is warm and sensitive.
b) A braggart is cold and unfeeling.
c) A braggart is a person who boasts.
d) A braggart is round.
",[1 4 2 3],"

The speaker is addressing the question ""What is the difference between a braggart and a snowman?""
A snowman is cold and unfeeling.
So the speaker is saying c) a braggart is a person who boasts."
66,Nonliterary,1.0,222.0,28.0,Tree trunks are straws for thirsty leaves and branches.,6.07,6.2,3.4,4.53,4.97,5.13,5.5,4.27,5.17,1.79,Tree trunks provide nutrients for leaves and branches.,Tree trunks provide support for leaves and branches.,Tree trunks are leftover when trees are cut down.,Tree trunks are empty.,,"""Tree trunks are straws for thirsty leaves and branches.""

a) Tree trunks provide support for leaves and branches.
b) Tree trunks are leftover when trees are cut down.
c) Tree trunks are empty.
d) Tree trunks provide nutrients for leaves and branches.
",[3 2 1 4],"

The speaker is addressing the question ""What role do tree trunks play in the trees?""
Tree trunks provide support for leaves and branches.
So the speaker is saying a) tree trunks provide support for leaves and branches."
67,Nonliterary,1.0,130.0,0.0,Extravagance is poison ivy.,4.14,4.4,2.67,3.4,2.23,3.17,3.77,2.76,2.97,1.61,Extravagance causes problems but its hard to eliminate.,Extravagance causes a rash.,Extravagance is a lack of restraint.,Extravagance is important.,,"""Extravagance is poison ivy.""

a) Extravagance is important.
b) Extravagance is a lack of restraint.
c) Extravagance causes a rash.
d) Extravagance causes problems but its hard to eliminate.
",[1 2 3 4],"The speaker is addressing the question ""Why is extravagance important?""
A lack of extravagance can cause problems but it's hard to eliminate.
So the speaker is saying c) extravagance causes a rash."
68,Nonliterary,1.0,201.0,0.0,Babies are angels.,6.1,5.43,3.23,3.87,5.4,5.5,4.93,5.53,4.57,2.34,Babies are soothing.,Babies are gentle.,Babies are young people.,Babies are violent.,,"""Babies are angels.""

a) Babies are gentle.
b) Babies are violent.
c) Babies are soothing.
d) Babies are young people.
",[3 1 4 2],"The speaker is addressing the question ""What do babies do?""
Angels are gentle and peaceful.
So the speaker is saying a) babies are gentle."
69,Literary,1.0,36.0,4.0,The wind is a hammer driving heads of rain before it.,5.03,5.27,3.2,4.57,4.93,4.27,4.47,4.27,3.4,1.66,The wind moves rain forcefully.,The wind moves rain into wood.,Wind is the natural movement of air.,The wind moves rain gently.,,"""The wind is a hammer driving heads of rain before it.""

a) Wind is the natural movement of air.
b) The wind moves rain forcefully.
c) The wind moves rain into wood.
d) The wind moves rain gently.
",[2 4 3 1],"

The wind is the natural movement of air.
Wind moves rain forcefully."
70,Nonliterary,1.0,97.0,0.0,The automobile is a mechanical horse.,6.07,6.17,3.37,4.2,4.4,4.7,4.9,4.33,4.9,1.93,The automobile replaced the horse for many people.,The automobile is faster than a mechanical horse.,The automobile is a land vehicle.,The automobile is not a mechanical horse.,,"""The automobile is a mechanical horse.""

a) The automobile is a land vehicle.
b) The automobile replaced the horse for many people.
c) The automobile is faster than a mechanical horse.
d) The automobile is not a mechanical horse.
",[2 4 3 1],"The speaker is addressing the question ""What is the automobile's role?""
The automobile replaced the horse for many people.
So the speaker is saying c) the automobile is faster than a mechanical horse."
71,Nonliterary,1.0,40.0,26.0,Thunderclouds are wild horses galloping across the sky.,5.83,6.0,2.67,5.03,5.33,5.3,5.23,4.1,4.3,2.3,Thunderclouds look powerful and move quickly.,Thunderclouds cover the sun.,Thunderclouds are rainclouds.,Thunderclouds look weak and move slowly.,,"""Thunderclouds are wild horses galloping across the sky.""

a) Thunderclouds cover the sun.
b) Thunderclouds look powerful and move quickly.
c) Thunderclouds are rainclouds.
d) Thunderclouds look weak and move slowly.
",[3 4 2 1],"The speaker is addressing the question ""What is the purpose of thunderclouds?""
They cover the sun and look powerful.
So the speaker is saying a) thunderclouds cover the sun."
72,Nonliterary,1.0,98.0,0.0,A rocket is a bullet to the stars.,6.13,6.47,3.7,4.63,5.2,5.43,5.83,3.9,5.23,1.89,A rocket can fly quickly to the stars.,A rocket can be a small object.,A rocket is vehicle for going to outerspace.,A rocket can fly slowly to the stars.,,"""A rocket is a bullet to the stars.""

a) A rocket can fly slowly to the stars.
b) A rocket can be a small object.
c) A rocket is vehicle for going to outerspace.
d) A rocket can fly quickly to the stars.
",[1 3 2 4],"
The speaker is addressing the question ""How does a rocket work?""
A bullet can fly slowly to the stars.
So the speaker is saying a) a rocket can fly slowly to the stars."
73,Literary,1.0,197.0,0.0,Books are the full-ripened grain of a poet's mind.,5.47,5.17,3.43,4.77,4.4,3.9,4.13,4.9,3.87,1.97,Books are the final result of a long process.,Books are made of plants.,Books are written works with pages bound in covers.,Books are easy to write.,,"""Books are the full-ripened grain of a poet's mind.""

a) Books are the final result of a long process.
b) Books are written works with pages bound in covers.
c) Books are easy to write.
d) Books are made of plants.
",[4 2 1 3],"The speaker is addressing the question ""What is the purpose of books?""
Books are written works with pages bound in covers.
So the speaker is saying b) books are written works with pages bound in covers."
74,Nonliterary,1.0,89.0,0.0,An umbrella is a portable roof.,6.2,6.67,4.41,4.27,5.2,5.67,5.6,4.33,5.23,1.83,An umbrella can provide shelter anywhere.,An umbrella is heavy.,An umbrella is a tool for staying dry.,An umbrella can leak.,,"""An umbrella is a portable roof.""

a) An umbrella is heavy.
b) An umbrella is a tool for staying dry.
c) An umbrella can provide shelter anywhere.
d) An umbrella can leak.
",[3 2 4 1],"The speaker is addressing the question ""What is an umbrella's purpose?""
An umbrella is a tool to stay dry.
So the speaker is saying c) an umbrella can provide shelter anywhere."
75,Nonliterary,1.0,206.0,10.0,Alcohol is a joyride.,5.2,5.67,3.63,3.5,3.83,4.3,3.2,4.03,3.43,2.14,Drinking is fun but risky.,Drinking is scary.,Alcohol is a drink that can make people feel relaxed.,People can become dependent on alcohol.,,"""Alcohol is a joyride.""

a) Drinking is scary.
b) Drinking is fun but risky.
c) People can become dependent on alcohol.
d) Alcohol is a drink that can make people feel relaxed.
",[3 4 1 2],"
The speaker is addressing the question ""How does alcohol make people feel?""
Drinking is a joyride.
So the speaker is saying c) people can become dependent on alcohol."
76,Nonliterary,1.0,138.0,0.0,Hard work is a ladder.,6.11,5.97,3.47,4.77,5.33,5.2,5.1,5.07,4.97,2.19,Hard work is the way to make progress.,Hard work is the way to perform better.,Hard work is working hard.,Hard work leads to stagnation.,,"""Hard work is a ladder.""

a) Hard work leads to stagnation.
b) Hard work is the way to make progress.
c) Hard work is the way to perform better.
d) Hard work is working hard.
",[1 4 3 2],"The speaker is addressing the question ""How is hard work beneficial?""
Hard work leads to progress.
So the speaker is saying c) hard work is the way to perform better."
77,Nonliterary,1.0,86.0,0.0,Smoke is a fire's calling card.,6.17,5.97,4.13,4.87,4.97,5.2,5.4,4.2,5.13,1.62,Smoke is always present when there's a fire.,Smoke reveals where a fire is.,Smoke is what rises from a fire.,Smoke is never present when there's a fire.,,"""Smoke is a fire's calling card.""

a) Smoke is always present when there's a fire.
b) Smoke reveals where a fire is.
c) Smoke is never present when there's a fire.
d) Smoke is what rises from a fire.
",[4 3 1 2],"The speaker is addressing the question ""What does smoke tell us about fires?""
When there's a fire, smoke is always present.
So the speaker is saying b) smoke reveals where a fire is."
78,Literary,1.0,8.0,0.0,Peace is a wild wood-dove.,5.28,4.77,3.17,3.67,5.03,3.43,4.6,4.13,3.43,1.6,Peace is elusive.,Peace is beautiful.,Peace is the absense of violence.,Peace is everywhere.,,"""Peace is a wild wood-dove.""

a) Peace is elusive.
b) Peace is beautiful.
c) Peace is everywhere.
d) Peace is the absense of violence.
",[4 3 1 2],"The speaker is addressing the question ""How do you find peace?""
Peace is elusive.
So the speaker is saying a) peace is elusive."
79,Nonliterary,1.0,164.0,0.0,Loneliness is a desert.,6.23,6.2,3.83,4.8,5.77,5.57,5.77,4.93,5.8,2.23,The feeling of loneliness is isolating.,The feeling of loneliness is dry.,Loneliness is the feeling of being alone.,The feeling of loneliness is pleasant.,,"""Loneliness is a desert.""

a) Loneliness is the feeling of being alone.
b) The feeling of loneliness is dry.
c) The feeling of loneliness is pleasant.
d) The feeling of loneliness is isolating.
",[2 3 1 4],"The speaker is addressing the question ""What is the feeling of loneliness?""
Loneliness is the feeling of being alone.
So the speaker is saying a) loneliness is the feeling of being alone."
80,Nonliterary,1.0,245.0,0.0,Each new idea is a sun.,5.52,5.37,3.0,4.7,4.69,4.3,4.14,4.24,5.1,1.97,Each new idea can be inspiring.,Each new idea can provide warmth.,Each new idea is a thought.,Each new idea is terrible.,,"""Each new idea is a sun.""

a) Each new idea is a thought.
b) Each new idea can provide warmth.
c) Each new idea can be inspiring.
d) Each new idea is terrible.
",[2 3 4 1],"The speaker is addressing the question ""What is the role of new ideas?""
New ideas can provide warmth and can be inspiring.
So the speaker is saying c) each new idea can be inspiring."
81,Nonliterary,1.0,259.0,0.0,Scientific research is mountain climbing.,5.97,6.07,3.03,4.73,4.69,5.07,4.69,4.29,4.4,2.04,Scientific resarch is strenuous work.,Scientific research is physical work.,Scientific research is hard work.,Scientific research is relaxing.,,"""Scientific research is mountain climbing.""

a) Scientific research is hard work.
b) Scientific research is physical work.
c) Scientific research is relaxing.
d) Scientific resarch is strenuous work.
",[2 3 1 4],"The speaker is addressing the question ""How does scientific research feel?""
Mountain climbing is strenuous.
So the speaker is saying c) scientific research is strenuous."
82,Nonliterary,1.0,220.0,20.0,Responsibility is a shackle.,4.69,4.67,2.83,3.23,2.73,3.57,3.4,2.8,3.23,1.21,Responsibility is confining.,Responsibility is exercise.,Responsibility is a virtue.,Responsibility is easy.,,"""Responsibility is a shackle.""

a) Responsibility is a virtue.
b) Responsibility is exercise.
c) Responsibility is confining.
d) Responsibility is easy.
",[2 3 4 1],"The speaker is addressing the question ""What is the role of responsibility?""
Responsibility is a virtue.
So the speaker is saying a) responsibility is a virtue."
83,Nonliterary,1.0,142.0,20.0,Responsibility is a barbell.,4.82,4.79,2.63,3.27,3.23,3.67,3.72,3.1,2.87,1.52,Responsibility is hard.,Responsibility is exercise.,Responsibility is a virtue.,Responsibility is easy.,,"""Responsibility is a barbell.""

a) Responsibility is exercise.
b) Responsibility is easy.
c) Responsibility is a virtue.
d) Responsibility is hard.
",[3 1 2 4],"The speaker is addressing the question ""What is the responsibility?""
Responsibility is hard.
So the speaker is saying c) responsibility is a virtue."
84,Nonliterary,1.0,93.0,0.0,A surgeon is an interior decorator.,5.53,6.2,3.03,3.77,3.97,3.93,5.27,2.77,3.23,1.9,A surgeon organizes the body so it can function better.,A surgeon operates on the body so it can look my stylish.,A surgeon is a doctor.,A surgeon organizes the body so it can lose function.,,"""A surgeon is an interior decorator.""

a) A surgeon is a doctor.
b) A surgeon organizes the body so it can function better.
c) A surgeon organizes the body so it can lose function.
d) A surgeon operates on the body so it can look my stylish.
",[2 4 1 3],"The speaker is addressing the question ""What is the role of a surgeon?""
A surgeon is a doctor.
So the speaker is saying b) a surgeon organizes the body so it can function better."
85,Nonliterary,1.0,215.0,0.0,A folk dance is a braid of steps.,5.13,5.53,3.9,4.33,4.3,3.87,3.93,2.47,4.7,1.31,A folk dance is intricate. ,A folk dance can be learned.,A folk dance is a cultural expression.,A folk dance is simple.,,"""A folk dance is a braid of steps.""

a) A folk dance can be learned.
b) A folk dance is intricate. 
c) A folk dance is a cultural expression.
d) A folk dance is simple.
",[3 4 2 1],"The speaker is addressing the question ""What is a folk dance?""
A folk dance is a cultural expression.
So the speaker is saying c) a folk dance is intricate."
86,Nonliterary,1.0,114.0,9.0,A wish is a butterfly.,3.63,4.0,2.1,2.77,2.47,3.07,2.97,2.9,2.67,1.43,A wish is delicate.,A wish is beautiful.,A wish is what someone hopes will happen.,A wish is harsh.,,"""A wish is a butterfly.""

a) A wish is delicate.
b) A wish is what someone hopes will happen.
c) A wish is beautiful.
d) A wish is harsh.
",[4 2 3 1],"The speaker is addressing the question ""What is a wish?""
A butterfly is delicate.
So the speaker is saying a) a wish is delicate."
87,Literary,1.0,76.0,0.0,"The three ports of life are dreaming, waking and dying.",5.07,5.2,4.0,3.77,4.3,3.47,3.9,4.57,3.17,1.93,"There are three ways to transition into or out of normal life: dreaming, waking and dying.","There are three ways to enjoy normal life: dreaming, waking and dying.",The three ports of life are three places to enter or exit being alive.,"There are three ways to maintain normal life: dreaming, waking and dying.",,"""The three ports of life are dreaming, waking and dying.""

a) There are three ways to transition into or out of normal life: dreaming, waking and dying.
b) The three ports of life are three places to enter or exit being alive.
c) There are three ways to maintain normal life: dreaming, waking and dying.
d) There are three ways to enjoy normal life: dreaming, waking and dying.
",[4 2 1 3],"The speaker is addressing the question ""What are the three ways to transition into or out of normal life?""
There are three ways to transition into or out of normal life: dreaming, waking and dying.
So the speaker is saying a) there are three ways to transition into or out of normal life: dreaming, waking and dying."
88,Literary,1.0,159.0,0.0,The tongue is a bayonet.,5.8,5.43,3.53,5.07,4.73,4.53,5.17,5.13,3.97,2.47,The tongue helps break down food.,The tongue is long and thin.,The tongue is a muscle.,The tongue is still.,,"""The tongue is a bayonet.""

a) The tongue helps break down food.
b) The tongue is long and thin.
c) The tongue is still.
d) The tongue is a muscle.
",[4 3 1 2],"The speaker is addressing the question ""What is the tongue's function?""
The tongue helps break down food.
So the speaker is saying a) the tongue is long and thin."
89,Nonliterary,1.0,168.0,0.0,Conscience is a thorn in the mind.,5.97,6.1,3.23,4.53,4.47,4.0,4.87,4.87,4.8,1.83,Conscience is inconvenient and painful.,Conscience is inconvenient and joyful.,Conscience is a person's inner voice.,Conscience is convenient and joyful.,,"""Conscience is a thorn in the mind.""

a) Conscience is inconvenient and joyful.
b) Conscience is inconvenient and painful.
c) Conscience is convenient and joyful.
d) Conscience is a person's inner voice.
",[3 4 1 2],"The speaker is addressing the question ""How does conscience feel?""
It is inconvenient and joyful.
So the speaker is saying b) conscience is inconvenient and painful."
90,Nonliterary,1.0,49.0,12.0,Bargain hunters are flocks of chickens.,4.97,4.59,3.07,3.7,4.03,4.27,4.17,3.07,3.67,1.73,Bargain hunters move in groups.,Bargain hunters scratch at merchandise.,Bargain hunters are people looking to save money.,Bargain hunters look for treasure.,,"""Bargain hunters are flocks of chickens.""

a) Bargain hunters look for treasure.
b) Bargain hunters scratch at merchandise.
c) Bargain hunters are people looking to save money.
d) Bargain hunters move in groups.
",[1 3 2 4],"The speaker is addressing the question ""What are the characteristics of a bargain hunter?""
Bargain hunters are people looking to save money.
So the speaker is saying c) bargain hunters are people looking to save money."
91,Literary,1.0,195.0,6.0,The body is a fading mansion taken on a short lease.,5.3,5.2,3.4,4.17,3.9,3.9,3.87,4.8,3.57,1.7,The body is getting older and closely observed.,The body is losing color and close by.,The body is the physical structure of a person.,The body is getting younger and ignored.,,"""The body is a fading mansion taken on a short lease.""

a) The body is the physical structure of a person.
b) The body is getting younger and ignored.
c) The body is losing color and close by.
d) The body is getting older and closely observed.
",[2 1 3 4],"The speaker is addressing the question ""How does the body look?""
A mansion is taken on a short lease.
So the speaker is saying c) the body is losing color and close by."
92,Nonliterary,1.0,257.0,14.0,Criticism is the helpful medicine only friends can prescribe.,6.14,5.63,4.23,4.43,4.62,5.0,4.52,4.41,4.67,1.48,Criticism is necessary and best heard from friends.,Criticism is necessary but never from friends.,Criticism is a kind of feedback.,Criticism is more painful from friends.,,"""Criticism is the helpful medicine only friends can prescribe.""

a) Criticism is necessary and best heard from friends.
b) Criticism is a kind of feedback.
c) Criticism is necessary but never from friends.
d) Criticism is more painful from friends.
",[4 2 3 1],"The speaker is addressing the question ""Why is criticism necessary?""
Criticism is necessary to improve.
So the speaker is saying c) criticism is necessary but never from friends."
93,Nonliterary,1.0,157.0,0.0,Political success is a house of cards.,5.13,5.1,3.07,4.0,4.0,3.7,3.63,3.47,3.8,1.83,Political success is unstable over the long term.,Political success can be built over the long term.,Politiccal success is winning elected office.,Political success is easy over the long term.,,"""Political success is a house of cards.""

a) Political success is easy over the long term.
b) Politiccal success is winning elected office.
c) Political success is unstable over the long term.
d) Political success can be built over the long term.
",[1 2 4 3],"The speaker is addressing the question ""What is the key to political success?""
A house of cards is a structure that is built up with cards.
So the speaker is saying c) political success is unstable over the long term."
94,Literary,1.0,115.0,0.0,Waves are the sailor's steed.,5.5,5.17,3.8,4.47,4.3,4.13,4.5,4.6,4.1,1.33,Waves move sailors through water.,Waves need to be fed by sailors.,Waves are the natural movements of water.,Waves stabilize sailors.,,"""Waves are the sailor's steed.""

a) Waves move sailors through water.
b) Waves stabilize sailors.
c) Waves need to be fed by sailors.
d) Waves are the natural movements of water.
",[4 1 3 2],"The speaker is addressing the question ""What does waves do for sailors?""
Sailors need to be stable while moving through water.
So the speaker is saying c) waves need to be fed by sailors."
95,Literary,1.0,2.0,7.0,Snow is winter's robes.,6.13,6.6,3.9,4.97,5.73,4.83,5.1,5.7,4.47,1.93,Snow can be a covering.,Snow can be warm.,Snow is frozen water that falls from the sky.,Snow can be see-through.,,"""Snow is winter's robes.""

a) Snow can be warm.
b) Snow can be a covering.
c) Snow can be see-through.
d) Snow is frozen water that falls from the sky.
",[3 4 1 2],"The speaker is addressing the question ""What does snow do?""
Snow can be warm.
So the speaker is saying a) snow can be warm."
96,Nonliterary,1.0,39.0,0.0,A good lover is a teddy bear.,5.33,5.41,3.27,4.03,4.8,4.87,5.1,4.03,4.0,2.5,A good lover is cuddly.,A good lover is a stuffed animal.,A good lover is a romantic partner.,A good lover is irritable.,,"""A good lover is a teddy bear.""

a) A good lover is a stuffed animal.
b) A good lover is a romantic partner.
c) A good lover is irritable.
d) A good lover is cuddly.
",[3 2 1 4],"The speaker is addressing the question ""What is a good lover?""

A good lover is a romantic partner who is cuddly.
So the speaker is saying d) a good lover is a cuddly."
97,Nonliterary,1.0,66.0,0.0,A pond is nature's mirror.,6.03,6.07,3.7,5.0,5.4,5.53,5.43,5.0,5.14,1.79,A pond is reflective.,A pond is flat.,A pond is a small body of water.,A pond is dark.,,"""A pond is nature's mirror.""

a) A pond is reflective.
b) A pond is a small body of water.
c) A pond is flat.
d) A pond is dark.
",[4 2 3 1],"The speaker is addressing the question ""How does a pond look?""
A pond is reflective.
So the speaker is saying a) a pond is reflective."
98,Nonliterary,1.0,255.0,21.0,Skyscrapers are honeycombs of glass.,5.38,4.55,2.97,3.97,4.0,4.0,4.1,2.77,3.93,1.24,Skyscrapers have an intricate geometric structure.,Skyscrapers are sweet.,Skyscrapers are tall buildings.,Skyscrapers have a simple geometric structure.,,"""Skyscrapers are honeycombs of glass.""

a) Skyscrapers have a simple geometric structure.
b) Skyscrapers are sweet.
c) Skyscrapers have an intricate geometric structure.
d) Skyscrapers are tall buildings.
",[1 3 4 2],"

The speaker is addressing the question ""What is a skyscraper?""
A honeycomb of glass has a simple geometric structure.
So the speaker is saying b) skyscrapers have a simple geometric structure."
99,Nonliterary,1.0,176.0,0.0,The fall of an empire is the sunset of civilization.,5.03,5.1,3.6,4.2,4.2,4.4,4.5,3.27,3.9,1.45,The fall of an empire is the end of civilization.,The fall of an empire is the middle of civilization.,The fall of an empire is the end of a political period of rule.,The fall of an empire is the beginning of civilization.,,"""The fall of an empire is the sunset of civilization.""

a) The fall of an empire is the end of a political period of rule.
b) The fall of an empire is the middle of civilization.
c) The fall of an empire is the end of civilization.
d) The fall of an empire is the beginning of civilization.
",[2 3 4 1],"The speaker is addressing the question ""When does an empire fall?""
Ending a political period of rule is the fall of an empire.
So the speaker is saying b) the fall of an empire is the middle of civilization."
