,Unnamed: 0,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,model_response,appropriateness_score,raw_guess
46,46,Nonliterary,1,185,24,The unconscious is the kitchen of ideas.,Ideas become better through unconscious processes.,Ideas become different through unconscious processes.,The unconscious is the part of the mind that is inaccessible to people.,Ideas become worse through unconscious processes.,4.73,4.9,3.13,4.17,3.4,3.13,4.07,2.37,3.73,1.93,,1,"""The unconscious is the kitchen of ideas.""

a) Ideas become different through unconscious processes.
b) Ideas become better through unconscious processes.
c) The unconscious is the part of the mind that is inaccessible to people.
d) Ideas become worse through unconscious processes.
",[3 4 2 1],"

The speaker is addressing the question ""How does the unconscious influence ideas?""
The speaker answers this question by comparing the unconscious to the kitchen of ideas.
The unconscious is where ideas come from, so the speaker is saying a) Ideas become different through unconscious processes.",3.0,a
47,47,Nonliterary,1,227,18,School teachers are encyclopedias.,School teachers are knowledgable,School teachers are detailed.,School teachers teach classes to students.,School teachers are boring.,5.69,5.47,3.1,3.67,4.28,4.4,4.0,3.66,4.1,2.07,"Note: changed from ""old schoolteachers""",1,"""School teachers are encyclopedias.""

a) School teachers are detailed.
b) School teachers are knowledgable
c) School teachers are boring.
d) School teachers teach classes to students.
",[3 4 1 2],"

The speaker is addressing the question ""What is a school teacher's role?""
The speaker answers this question by comparing school teachers to encyclopedias.
An encyclopedia is very detailed, so the speaker is saying b) School teachers are knowledgable.",4.0,b
48,48,Literary,1,16,0,A bed is a temple of love.,A bed is sacred.,A bed is religious furniture.,A bed is furniture.,A bed is a mundane piece of furniture.,6.1,6.1,3.5,4.07,5.0,5.1,4.2,5.5,3.27,2.07,,1,"""A bed is a temple of love.""

a) A bed is sacred.
b) A bed is furniture.
c) A bed is religious furniture.
d) A bed is a mundane piece of furniture.
",[4 2 3 1],"

The speaker is addressing the question ""What does a bed represent?""
The speaker answers this question by comparing a bed to a temple of love.
A temple is sacred, so the speaker is saying a) A bed is sacred.",4.0,a
49,49,Nonliterary,1,179,0,The mosquito is a vampire.,The mosquito drinks blood.,The mosquito wears a cape.,The mosquito is an insect.,The mosquito does not drink blood.,6.53,6.33,3.6,4.07,5.1,5.23,5.8,4.33,5.37,2.31,,1,"""The mosquito is a vampire.""

a) The mosquito wears a cape.
b) The mosquito is an insect.
c) The mosquito does not drink blood.
d) The mosquito drinks blood.
",[3 2 1 4],"

The speaker is addressing the question ""What does the mosquito do?""
The speaker answers this question by comparing a mosquito to a vampire.
A vampire sucks blood from people, so the speaker is saying b) The mosquito wears a cape.",2.0,b
50,50,Nonliterary,1,12,21,A skyscraper is a slumbering giant.,A skyscraper is big.,A skyscraper moves slowly.,A skyscraper is a tall building.,A skycraper is small.,5.56,5.29,3.46,4.36,4.17,4.72,4.5,3.66,4.33,1.73,,1,"""A skyscraper is a slumbering giant.""

a) A skyscraper is a tall building.
b) A skyscraper is big.
c) A skycraper is small.
d) A skyscraper moves slowly.
",[2 4 1 3],"

The speaker is addressing the question ""What does a skyscraper look like?""
The speaker answers this question by comparing a skyscraper to a sleeping giant.
A sleeping giant is large and can move slowly, so the speaker is saying b) A skyscraper is big.",4.0,b
51,51,Nonliterary,1,117,9,A wish is a rainbow.,A wish is beautiful.,A wish is delicate.,A wish is a hope for the future.,A wish is harsh.,4.7,4.93,2.27,3.7,3.73,4.34,4.1,3.69,3.6,1.61,,1,"""A wish is a rainbow.""

a) A wish is harsh.
b) A wish is delicate.
c) A wish is a hope for the future.
d) A wish is beautiful.
",[1 3 2 4],"

The speaker is addressing the question ""What does a wish mean to the speaker?""
The speaker answers this question by comparing a wish to a rainbow.
A rainbow is delicate, so the speaker is saying c) A wish is a hope for the future.",2.0,c
52,52,Nonliterary,1,101,0,An accountant is a juggler.,An accountant has to complete lots of different tasks.,An acountant is entertaining.,An accountant is a worker.,Being an accountant is an easy job.,5.87,5.57,3.77,4.57,4.1,4.67,4.33,3.3,3.73,1.96,,1,"""An accountant is a juggler.""

a) Being an accountant is an easy job.
b) An acountant is entertaining.
c) An accountant is a worker.
d) An accountant has to complete lots of different tasks.
",[1 3 2 4],"

The speaker is addressing the question ""What is an accountant's job?""
The speaker answers this question by comparing being an accountant to juggling.
 Juggling is an easy job that is entertaining to watch, so the speaker is saying c) An accountant is a worker.",2.0,c
53,53,Literary,1,118,0,"A broken heart is a shattered mirror, reflecting life in pieces.",A broken heart is disruptive and disorienting.,A broken heart can be violent.,A broken heart is failed organ.,A broken heart is easy to handle.,5.43,5.93,3.77,6.0,6.07,4.8,5.4,5.6,5.4,2.07,,1,"""A broken heart is a shattered mirror, reflecting life in pieces.""

a) A broken heart is easy to handle.
b) A broken heart can be violent.
c) A broken heart is failed organ.
d) A broken heart is disruptive and disorienting.
",[1 3 2 4],"

The speaker is addressing the question ""How does a broken heart feel?""
The speaker answers this question by comparing a broken heart to a shattered mirror.
A shattered mirror reflects life in pieces, so the speaker is saying c) A broken heart is failed organ.",2.0,c
54,54,Nonliterary,1,87,0,Honey is a bear's best friend.,Bears love honey.,Honey is sticky for bears.,Honey is made by bees.,Bears hate honey.,6.5,6.03,4.33,3.9,4.83,5.63,5.03,5.93,4.43,1.97,,1,"""Honey is a bear's best friend.""

a) Honey is made by bees.
b) Honey is sticky for bears.
c) Bears love honey.
d) Bears hate honey.
",[2 3 4 1],"

The speaker is addressing the question ""What is honey used for?""
The speaker answers this question by comparing honey to a bear's best friend.
Bears love honey, so the speaker is saying a) Honey is made by bees.
Bears love honey, so the speaker is saying b) Honey is sticky for bears.",2.0,a
55,55,Nonliterary,1,42,2,A dusty and crowded attic is a scrapbook older people love to page through.,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is fun for children.,A dusty and crowded attic is an upstairs room.,A dusty and crowded attic is a scary place,6.2,6.45,4.07,5.4,5.13,5.03,5.9,4.77,5.43,1.8,,1,"""A dusty and crowded attic is a scrapbook older people love to page through.""

a) A dusty and crowded attic is fun for children.
b) A dusty and crowded attic is an upstairs room.
c) A dusty and crowded attic is a scary place
d) A dusty and crowded attic has a lot of memories.
",[3 2 1 4],"

The speaker is addressing the question ""How do people feel about a dusty and crowded attic?""
The speaker answers this question by comparing a dusty and crowded attic to a scrapbook.
A scrapbook is a book where older people like to look through, so the speaker is saying a) A dusty and crowded attic is fun for children.",3.0,a
56,56,Nonliterary,1,5,15,Freedom is truth. ,Freedom is important.,Freedom is the only thing that matters.,Freedom is an ideal.,Freedom is irrelevant.,5.42,4.79,3.81,4.36,3.14,3.48,2.96,5.1,5.11,1.69,Another freedom,1,"""Freedom is truth. ""

a) Freedom is important.
b) Freedom is irrelevant.
c) Freedom is an ideal.
d) Freedom is the only thing that matters.
",[4 1 2 3],"

The speaker is addressing the question ""What is the importance of freedom?""
The speaker answers this question by comparing freedom to truth.
Truth is important, so the speaker is saying a) Freedom is important.",4.0,a
57,57,Literary,1,28,0,Moonlight is bleach.,Moonlight makes everything look white.,Moonlight removes bacteria.,Moonlight is the reflection of energy from the sun off the moon.,Moonlight makes everything look dark.,5.67,5.0,3.17,3.57,4.3,4.03,3.87,3.8,3.6,1.53,,1,"""Moonlight is bleach.""

a) Moonlight makes everything look white.
b) Moonlight makes everything look dark.
c) Moonlight removes bacteria.
d) Moonlight is the reflection of energy from the sun off the moon.
",[4 1 3 2],"

The speaker is addressing the question ""What does moonlight do?""
The speaker answers this question by comparing moonlight to bleach.
Bleach is used to clean things, so the speaker is saying c) Moonlight removes bacteria.",3.0,c
58,58,Nonliterary,1,195,24,The subconscious is an arena.,The subconscious is open and unconstrained.,It is possible to watch the subconscious.,The subconscious is the part of the mind that is inaccessible to people.,The subconscious is tightly constrained.,3.47,3.73,2.8,2.97,3.03,2.73,3.17,2.63,2.93,1.72,,1,"""The subconscious is an arena.""

a) The subconscious is tightly constrained.
b) The subconscious is open and unconstrained.
c) The subconscious is the part of the mind that is inaccessible to people.
d) It is possible to watch the subconscious.
",[1 4 2 3],"

The speaker is addressing the question ""What is the subconscious?""
The speaker answers this question by comparing the subconscious to an arena.
An arena is open and unconstrained, so the speaker is saying b) The subconscious is open and unconstrained.",4.0,b
59,59,Nonliterary,1,8,23,The stars are signposts. ,The stars guide travelers.,The stars block travelers.,The stars are fireballs.,The stars hide information.,5.4,5.5,3.35,4.12,3.69,4.0,3.58,3.9,3.63,1.81,,1,"""The stars are signposts. ""

a) The stars block travelers.
b) The stars are fireballs.
c) The stars hide information.
d) The stars guide travelers.
",[3 2 1 4],"

The speaker is addressing the question ""What are the stars' uses?""
The speaker answers this question by comparing the stars to signposts.
Signposts guide travelers to their destination, so the speaker is saying c) The stars hide information.",1.0,c
60,60,Nonliterary,1,104,0,A wave is a tick of a clock.,A wave is consistent.,A wave makes a sound.,A wave is in the ocean.,A wave is slow.,3.67,3.7,2.17,3.1,3.03,2.93,2.93,2.73,2.23,1.54,,1,"""A wave is a tick of a clock.""

a) A wave makes a sound.
b) A wave is consistent.
c) A wave is in the ocean.
d) A wave is slow.
",[3 4 2 1],"

The speaker is addressing the question ""What does a wave do?""
The speaker answers this question by comparing a wave to a tick of a clock.
A tick of a clock is a small movement, so the speaker is saying b) A wave is consistent.",4.0,b
61,61,Literary,1,102,3,The stars are fireflies.,The stars are bright.,The stars are circles.,The stars are in the sky.,The stars are connected.,5.73,6.13,3.87,4.0,5.8,5.53,5.97,5.63,4.33,1.77,,1,"""The stars are fireflies.""

a) The stars are bright.
b) The stars are connected.
c) The stars are circles.
d) The stars are in the sky.
",[4 1 3 2],"

The speaker is addressing the question ""What does a star look like?""
The speaker answers this question by comparing a star to a firefly.
Fireflies are small, bright lights, so the speaker is saying c) The stars are circles.",3.0,c
62,62,Nonliterary,1,221,0,Indecision is a whirlpool.,Indecision causes chaos.,Indecision moves in a circle.,Indecision is the inability to make a decision.,Indecision is useful.,5.7,5.8,2.9,5.13,4.63,4.67,5.67,4.0,4.83,2.03,,1,"""Indecision is a whirlpool.""

a) Indecision moves in a circle.
b) Indecision is useful.
c) Indecision causes chaos.
d) Indecision is the inability to make a decision.
",[3 1 4 2],"
The speaker is addressing the question ""What is the effect of indecision?""
The speaker answers this question by comparing indecision to a whirlpool.
A whirlpool catches objects and moves them around, so the speaker is saying c) Indecision causes chaos.",4.0,c
63,63,Nonliterary,1,180,0,Experiments are the lasso of progress.,Experiments are a useful method for making quick progress.,Experiments are made of rope.,Experiments are an important piece of the scientific method.,Experiments are misleading.,5.0,5.1,3.3,4.4,3.57,3.6,3.33,2.8,4.38,1.59,,1,"""Experiments are the lasso of progress.""

a) Experiments are made of rope.
b) Experiments are misleading.
c) Experiments are a useful method for making quick progress.
d) Experiments are an important piece of the scientific method.
",[3 1 4 2],"

The speaker is addressing the question ""What is the purpose of experiments?""
The speaker answers this question by comparing experiments to a lasso.
A lasso is used to capture animals, so the speaker is saying c) Experiments are a useful method for making quick progress.",4.0,c
64,64,Nonliterary,1,171,0,A pimple is the skin's volcano.,Pimples burst.,Pimples are round. ,A pimple is a red bump.,Pimples are hard to see.,6.5,6.4,3.3,3.97,5.5,4.87,5.77,4.03,4.4,1.57,,1,"""A pimple is the skin's volcano.""

a) A pimple is a red bump.
b) Pimples burst.
c) Pimples are hard to see.
d) Pimples are round. 
",[2 4 1 3],"

The speaker is addressing the question ""What is a pimple?""
The speaker answers this question by comparing a pimple to a skin's volcano.
A skin's volcano is a place where molten rock rises to the surface, so the speaker is saying b) Pimples burst.",4.0,b
65,65,Nonliterary,1,135,0,A braggart is a snowman.,A braggart is fragile.,A braggart is round.,A braggart is a person who boasts.,A braggart is warm and sensitive.,3.07,2.79,2.63,2.3,1.97,2.6,2.62,1.8,2.1,0.93,,1,"""A braggart is a snowman.""

a) A braggart is round.
b) A braggart is a person who boasts.
c) A braggart is warm and sensitive.
d) A braggart is fragile.
",[3 2 1 4],"

The speaker is addressing the question ""What is a braggart's personality?""
The speaker answers this question by comparing a braggart to a snowman.
A snowman is round, so the speaker is saying a) A braggart is round.",3.0,a
66,66,Nonliterary,1,222,28,Tree trunks are straws for thirsty leaves and branches.,Tree trunks provide nutrients for leaves and branches.,Tree trunks provide support for leaves and branches.,Tree trunks are leftover when trees are cut down.,Tree trunks are empty.,6.07,6.2,3.4,4.53,4.97,5.13,5.5,4.27,5.17,1.79,,1,"""Tree trunks are straws for thirsty leaves and branches.""

a) Tree trunks provide support for leaves and branches.
b) Tree trunks are empty.
c) Tree trunks are leftover when trees are cut down.
d) Tree trunks provide nutrients for leaves and branches.
",[3 1 2 4],"

The speaker is addressing the question ""What does tree trunk provide for leaves and branches?""
The speaker answers this question by comparing tree trunk to straws.
Tree trunk provides support for leaves and branches, so the speaker is saying a) Tree trunks provide support for leaves and branches.",3.0,a
67,67,Nonliterary,1,130,0,Extravagance is poison ivy.,Extravagance causes problems and is hard to eliminate.,Extravagance causes a rash.,Extravagance is a lack of restraint.,Extravagance is important.,4.14,4.4,2.67,3.4,2.23,3.17,3.77,2.76,2.97,1.61,,1,"""Extravagance is poison ivy.""

a) Extravagance causes problems and is hard to eliminate.
b) Extravagance causes a rash.
c) Extravagance is a lack of restraint.
d) Extravagance is important.
",[4 3 2 1],"

The speaker is addressing the question ""How does extravagance effect people?""
The speaker answers this question by comparing extravagance to poison ivy.
Poison ivy is a dangerous plant that causes a rash, so the speaker is saying b) Extravagance causes a rash.",3.0,b
68,68,Nonliterary,1,201,0,Babies are angels.,Babies are soothing.,Babies are gentle.,Babies are young people.,Babies are violent.,6.1,5.43,3.23,3.87,5.4,5.5,4.93,5.53,4.57,2.34,,1,"""Babies are angels.""

a) Babies are soothing.
b) Babies are violent.
c) Babies are gentle.
d) Babies are young people.
",[4 1 3 2],"

The speaker is addressing the question ""How do babies feel?""
The speaker answers this question by comparing babies to angels.
Angels are soothing and gentle, so the speaker is saying a) Babies are soothing.",4.0,a
69,69,Literary,1,36,4,The wind is a hammer driving heads of rain before it.,The wind moves rain forcefully.,The wind moves rain into wood.,Wind is the natural movement of air.,The wind moves rain gently.,5.03,5.27,3.2,4.57,4.93,4.27,4.47,4.27,3.4,1.66,,1,"""The wind is a hammer driving heads of rain before it.""

a) The wind moves rain into wood.
b) The wind moves rain gently.
c) The wind moves rain forcefully.
d) Wind is the natural movement of air.
",[3 1 4 2],"

The speaker is addressing the question ""What does the wind do?""
The speaker answers this question by comparing wind to a hammer.
A hammer drives nails into wood, so the speaker is saying c) The wind moves rain forcefully.",4.0,c
70,70,Nonliterary,1,97,0,The automobile is a mechanical horse.,The automobile replaced the horse for many people.,The automobile is faster than a mechanical horse.,The automobile is a land vehicle.,The automobile is not a mechanical horse.,6.07,6.17,3.37,4.2,4.4,4.7,4.9,4.33,4.9,1.93,,1,"""The automobile is a mechanical horse.""

a) The automobile is faster than a mechanical horse.
b) The automobile replaced the horse for many people.
c) The automobile is a land vehicle.
d) The automobile is not a mechanical horse.
",[3 4 2 1],"
The speaker is addressing the question ""What is the automobile's role?""
The speaker answers this question by comparing the automobile to a mechanical horse.
A mechanical horse is faster than a human, so the speaker is saying b) The automobile replaced the horse for many people.",4.0,b
71,71,Nonliterary,1,40,26,Thunderclouds are wild horses galloping across the sky.,Thunderclouds look powerful and move quickly.,Thunderclouds cover the sun.,Thunderclouds are rainclouds.,Thunderclouds look weak and move slowly.,5.83,6.0,2.67,5.03,5.33,5.3,5.23,4.1,4.3,2.3,,1,"""Thunderclouds are wild horses galloping across the sky.""

a) Thunderclouds are rainclouds.
b) Thunderclouds look powerful and move quickly.
c) Thunderclouds cover the sun.
d) Thunderclouds look weak and move slowly.
",[2 4 3 1],"

The speaker is addressing the question ""How do thunderclouds look?""
The speaker answers this question by comparing thunderclouds to wild horses.
Wild horses are fast and powerful, so the speaker is saying b) Thunderclouds look powerful and move quickly.",4.0,b
72,72,Nonliterary,1,98,0,A rocket is a bullet to the stars.,A rocket can fly quickly to the stars.,A rocket can be a small object.,A rocket is vehicle for going to outerspace.,A rocket can fly slowly to the stars.,6.13,6.47,3.7,4.63,5.2,5.43,5.83,3.9,5.23,1.89,,1,"""A rocket is a bullet to the stars.""

a) A rocket can fly quickly to the stars.
b) A rocket can fly slowly to the stars.
c) A rocket can be a small object.
d) A rocket is vehicle for going to outerspace.
",[4 1 3 2],"

The speaker is addressing the question ""What is a rocket's purpose?""
The speaker answers this question by comparing a rocket to a bullet.
A bullet can fly quickly to the stars, so the speaker is saying a) A rocket can fly quickly to the stars.",4.0,a
73,73,Literary,1,197,0,Books are the full-ripened grain of a poet's mind.,Books are the final result of a long process.,Books are made of plants.,Books are written works with pages bound in covers.,Books are easy to write.,5.47,5.17,3.43,4.77,4.4,3.9,4.13,4.9,3.87,1.97,,1,"""Books are the full-ripened grain of a poet's mind.""

a) Books are easy to write.
b) Books are written works with pages bound in covers.
c) Books are the final result of a long process.
d) Books are made of plants.
",[1 2 4 3],"

The speaker is addressing the question ""What is the purpose of books?""
The speaker answers this question by comparing books to full-ripened grain.
Grain is full-ripened, so the speaker is saying books are the final result of a long process.",,
74,74,Nonliterary,1,89,0,An umbrella is a portable roof.,An umbrella can provide shelter anywhere.,An umbrella is heavy.,An umbrella is a tool for staying dry.,An umbrella can leak.,6.2,6.67,4.41,4.27,5.2,5.67,5.6,4.33,5.23,1.83,,1,"""An umbrella is a portable roof.""

a) An umbrella can provide shelter anywhere.
b) An umbrella can leak.
c) An umbrella is a tool for staying dry.
d) An umbrella is heavy.
",[4 1 2 3],"

The speaker is addressing the question ""What does an umbrella do?""
The speaker answers this question by comparing an umbrella to a portable roof.
A portable roof can provide shelter from the rain or sun, so the speaker is saying a) An umbrella can provide shelter anywhere.",4.0,a
75,75,Nonliterary,1,206,10,Alcohol is a joyride.,Drinking is fun but risky.,Drinking is scary.,Alcohol is a drink that can make people feel relaxed.,People can become dependent on alcohol.,5.2,5.67,3.63,3.5,3.83,4.3,3.2,4.03,3.43,2.14,,1,"""Alcohol is a joyride.""

a) Alcohol is a drink that can make people feel relaxed.
b) Drinking is fun but risky.
c) People can become dependent on alcohol.
d) Drinking is scary.
",[2 4 1 3],"

The speaker is addressing the question ""How do people feel about drinking?""
The speaker answers this question by comparing alcohol to a joyride.
A joyride is a fun and dangerous experience, so the speaker is saying c) People can become dependent on alcohol.",1.0,c
76,76,Nonliterary,1,138,0,Hard work is a ladder.,Hard work is the way to make progress.,Hard work is the way to perform better.,Hard work is working hard.,Hard work leads to stagnation.,6.11,5.97,3.47,4.77,5.33,5.2,5.1,5.07,4.97,2.19,,1,"""Hard work is a ladder.""

a) Hard work is working hard.
b) Hard work is the way to make progress.
c) Hard work leads to stagnation.
d) Hard work is the way to perform better.
",[2 4 1 3],"

The speaker is addressing the question ""How does hard work help us achieve our goals?""
The speaker answers this question by comparing hard work to a ladder.
A ladder is a tool that helps people climb up, so the speaker is saying b) Hard work is the way to make progress.",4.0,b
77,77,Nonliterary,1,86,0,Smoke is a fire's calling card.,Smoke is always present when there's a fire.,Smoke reveals where a fire is.,Smoke is what rises from a fire.,Smoke is never present when there's a fire.,6.17,5.97,4.13,4.87,4.97,5.2,5.4,4.2,5.13,1.62,,1,"""Smoke is a fire's calling card.""

a) Smoke is what rises from a fire.
b) Smoke is always present when there's a fire.
c) Smoke reveals where a fire is.
d) Smoke is never present when there's a fire.
",[2 4 3 1],"

The speaker is addressing the question ""What does smoke tell us about a fire?""
The speaker answers this question by comparing smoke to a fire's calling card.
A fire's calling card is something that reveals the presence of the fire, so the speaker is saying b) Smoke reveals where a fire is.",4.0,b
78,78,Literary,1,8,0,Peace is a wild wood-dove.,Peace is elusive.,Peace is beautiful.,Peace is the absense of violence.,Peace is everywhere.,5.28,4.77,3.17,3.67,5.03,3.43,4.6,4.13,3.43,1.6,,1,"""Peace is a wild wood-dove.""

a) Peace is everywhere.
b) Peace is beautiful.
c) Peace is the absense of violence.
d) Peace is elusive.
",[1 3 2 4],"

The speaker is addressing the question ""What is the definition of peace?""
The speaker answers this question by comparing peace to a wood-dove.
A wood-dove is peaceful, so the speaker is saying a) Peace is everywhere.",1.0,a
79,79,Nonliterary,1,164,0,Loneliness is a desert.,Loneliness is isolating.,Loneliness is dry.,Loneliness is the feeling of being alone.,Loneliness is pleasant.,6.23,6.2,3.83,4.8,5.77,5.57,5.77,4.93,5.8,2.23,,1,"""Loneliness is a desert.""

a) Loneliness is the feeling of being alone.
b) Loneliness is isolating.
c) Loneliness is pleasant.
d) Loneliness is dry.
",[2 4 1 3],"

The speaker is addressing the question ""How is loneliness different from other emotions?""
The speaker answers this question by comparing loneliness to a desert.
Deserts are dry, so the speaker is saying c) Loneliness is pleasant.",1.0,c
80,80,Nonliterary,1,245,0,Each new idea is a sun.,Each new idea can be inspiring.,Each new idea can provide warmth.,Each new idea is a thought.,Each new idea is terrible.,5.52,5.37,3.0,4.7,4.69,4.3,4.14,4.24,5.1,1.97,,1,"""Each new idea is a sun.""

a) Each new idea is a thought.
b) Each new idea can be inspiring.
c) Each new idea can provide warmth.
d) Each new idea is terrible.
",[2 4 3 1],"

The speaker is addressing the question ""How is each new idea?""
The speaker answers this question by comparing each new idea to a sun.
A sun provides warmth and can light up the sky, so the speaker is saying c) Each new idea can provide warmth.",3.0,c
81,81,Nonliterary,1,259,0,Scientific research is mountain climbing.,Scientific research is strenuous work.,Scientific research is physical work.,Scientific research is done in labs.,Scientific research is relaxing.,5.97,6.07,3.03,4.73,4.69,5.07,4.69,4.29,4.4,2.04,,1,"""Scientific research is mountain climbing.""

a) Scientific research is physical work.
b) Scientific research is done in labs.
c) Scientific research is strenuous work.
d) Scientific research is relaxing.
",[3 2 4 1],"

The speaker is addressing the question ""What is scientific research?""
The speaker answers this question by comparing scientific research to mountain climbing.
Mountain climbing is physical work that is strenuous, so the speaker is saying b) Scientific research is done in labs.",2.0,b
82,82,Nonliterary,1,220,20,Responsibility is a shackle.,Responsibility is confining.,Responsibility is difficult.,Responsibility is a virtue.,Responsibility is easy.,4.69,4.67,2.83,3.23,2.73,3.57,3.4,2.8,3.23,1.21,,1,"""Responsibility is a shackle.""

a) Responsibility is confining.
b) Responsibility is a virtue.
c) Responsibility is easy.
d) Responsibility is difficult.
",[4 2 1 3],"

The speaker is addressing the question ""How does responsibility feel?""
The speaker answers this question by comparing responsibility to a shackle.
A shackle is a type of restraint, so the speaker is saying c) Responsibility is easy.",1.0,c
83,83,Nonliterary,1,142,20,Responsibility is a barbell.,Responsibility is hard.,Responsibility is exercise.,Responsibility is a virtue.,Responsibility is easy.,4.82,4.79,2.63,3.27,3.23,3.67,3.72,3.1,2.87,1.52,,1,"""Responsibility is a barbell.""

a) Responsibility is hard.
b) Responsibility is easy.
c) Responsibility is exercise.
d) Responsibility is a virtue.
",[4 1 3 2],"

The speaker is addressing the question ""How does responsibility feel?""
The speaker answers this question by comparing responsibility to a barbell.
A barbell is hard to lift, so the speaker is saying b) Responsibility is easy.",1.0,b
84,84,Nonliterary,1,93,0,A surgeon is an interior decorator.,A surgeon organizes the body so it can function better.,A surgeon operates on the body so it can look more stylish.,A surgeon is a doctor.,A surgeon organizes the body so it can lose function.,5.53,6.2,3.03,3.77,3.97,3.93,5.27,2.77,3.23,1.9,,1,"""A surgeon is an interior decorator.""

a) A surgeon organizes the body so it can function better.
b) A surgeon is a doctor.
c) A surgeon operates on the body so it can look more stylish.
d) A surgeon organizes the body so it can lose function.
",[4 2 3 1],"

The speaker is addressing the question ""What is the role of a surgeon?""
The speaker answers this question by comparing a surgeon to an interior decorator.
An interior decorator is responsible for the look and feel of a person's home, so the speaker is saying c) A surgeon operates on the body so it can look more stylish.",3.0,c
85,85,Nonliterary,1,215,0,A folk dance is a braid of steps.,A folk dance is intricate. ,A folk dance can be learned.,A folk dance is a cultural expression.,A folk dance is simple.,5.13,5.53,3.9,4.33,4.3,3.87,3.93,2.47,4.7,1.31,,1,"""A folk dance is a braid of steps.""

a) A folk dance is a cultural expression.
b) A folk dance is simple.
c) A folk dance is intricate. 
d) A folk dance can be learned.
",[2 1 4 3],"
The speaker is addressing the question ""What is a folk dance?""
The speaker answers this question by comparing a folk dance to a braid of steps.
A folk dance is simple, so the speaker is saying b) A folk dance is simple.",1.0,b
86,86,Nonliterary,1,114,9,A wish is a butterfly.,A wish is delicate.,A wish is beautiful.,A wish is a hope for the future.,A wish is harsh.,3.63,4.0,2.1,2.77,2.47,3.07,2.97,2.9,2.67,1.43,,1,"""A wish is a butterfly.""

a) A wish is a hope for the future.
b) A wish is beautiful.
c) A wish is harsh.
d) A wish is delicate.
",[2 3 1 4],"

The speaker is addressing the question ""How does a wish feel?""
The speaker answers this question by comparing a wish to a butterfly.
A butterfly is delicate, so the speaker is saying d) A wish is delicate.",4.0,d
87,87,Literary,1,76,0,"The three ports of life are dreaming, waking and dying.","There are three ways to transition into or out of normal life: dreaming, waking and dying.","There are three ways to enjoy normal life: dreaming, waking and dying.",The three ports of life are three places to enter or exit being alive.,"There are three ways to maintain normal life: dreaming, waking and dying.",5.07,5.2,4.0,3.77,4.3,3.47,3.9,4.57,3.17,1.93,,1,"""The three ports of life are dreaming, waking and dying.""

a) There are three ways to transition into or out of normal life: dreaming, waking and dying.
b) There are three ways to enjoy normal life: dreaming, waking and dying.
c) The three ports of life are three places to enter or exit being alive.
d) There are three ways to maintain normal life: dreaming, waking and dying.
",[4 3 2 1],"

The speaker is addressing the question ""What are the three ways to enter or exit being alive?""
The speaker answers this question by comparing the three ports of life to three places to enter or exit being alive.
 dreaming, waking and dying are three ways to transition into or out of normal life, so the speaker is saying a) There are three ways to transition into or out of normal life: dreaming, waking and dying.",4.0,a
88,88,Literary,1,159,0,The tongue is a bayonet.,The tongue can be used to say mean things that hurt people.,The tongue is long and thin.,The tongue is a muscle.,The tongue is still.,5.8,5.43,3.53,5.07,4.73,4.53,5.17,5.13,3.97,2.47,,1,"""The tongue is a bayonet.""

a) The tongue is long and thin.
b) The tongue is a muscle.
c) The tongue can be used to say mean things that hurt people.
d) The tongue is still.
",[3 2 4 1],"

The speaker is addressing the question ""What does the tongue do?""
The speaker answers this question by comparing the tongue to a bayonet.
A bayonet is long and thin, so the speaker is saying a) The tongue is long and thin.",3.0,a
89,89,Nonliterary,1,168,0,Conscience is a thorn in the mind.,Conscience is inconvenient and painful.,Conscience is prickly.,Conscience is a person's inner voice.,Conscience is convenient and joyful.,5.97,6.1,3.23,4.53,4.47,4.0,4.87,4.87,4.8,1.83,,1,"""Conscience is a thorn in the mind.""

a) Conscience is inconvenient and painful.
b) Conscience is a person's inner voice.
c) Conscience is prickly.
d) Conscience is convenient and joyful.
",[4 2 3 1],"

The speaker is addressing the question ""How does conscience feel?""
The speaker answers this question by comparing conscience to a thorn.
Thorns are inconvenient and painful, so the speaker is saying b) Conscience is a person's inner voice.",2.0,b
90,90,Nonliterary,1,49,12,Bargain hunters are flocks of chickens.,Bargain hunters move in groups.,Bargain hunters scratch at merchandise.,Bargain hunters are people looking to save money.,Bargain hunters look for treasure.,4.97,4.59,3.07,3.7,4.03,4.27,4.17,3.07,3.67,1.73,,1,"""Bargain hunters are flocks of chickens.""

a) Bargain hunters move in groups.
b) Bargain hunters are people looking to save money.
c) Bargain hunters look for treasure.
d) Bargain hunters scratch at merchandise.
",[4 2 1 3],"
The speaker is addressing the question ""What is the purpose of bargain hunting?""
The speaker answers this question by comparing bargain hunting to a flock of chickens.
Chickens move in groups and look for food, so the speaker is saying a) Bargain hunters move in groups.",4.0,a
